類別,大題號、小題號,自評項目,補充資料
一、消費法規之遵循,一、2.,訂定廣告文宣文字內容時，是否詳細審核其適法性？,"金融消費者保護法
第 8 條: 金融服務業在刊登、播放廣告以及進行業務招攬或商業促銷活動時，不得含有虛假、欺詐、隱匿或其他可能誤導他人的內容。同時，其廣告內容必須真實，其向金融消費者承擔的義務不得低於廣告的內容，以及在進行業務招攬或商業促銷活動時向金融消費者提供的資訊或說明。廣告、招攬活動的方式、內容以及其他應遵循的規定由主管機關確定。金融服務業不得通過金融教育宣傳來推薦個別金融商品或服務。
"
二、行銷廣告,二、1.,廣告文宣內容之真實性，是否確認無誇大虛偽宣傳或宣示致使大眾誤解？,
二、行銷廣告,二、2.,針對廣告文宣之活動內容、客戶承作條件、限制條件、優惠條件及相關詳細內容是否確認已明確揭露？,審核規範後，如果文本中你認為優惠條件沒有明確說明，不符合的原因請確切提出哪部分資訊尚未提供。
二、行銷廣告,二、3.,廣告文宣之內容是否確認無誤導消費者不正確之價值及理財觀念？,
六、法令覆核,六、1.,廣宣資料確定內容無不當、不實陳述、誤導消費者或違反相關法令規章之情事。,"審查規範後，如果文本中你認為優惠條件沒有明確說明，不符合的原因請確切提出哪部分資訊尚未提供。
資料提供:
不實廣告案例類型
二十九、廣告使用「第一」、「冠軍」、「最多」、「最大」……等最高級用語連結客觀陳述，但無銷售數字或意見調查等客觀數據佐證者。
三十、 表示或表徵未揭露交易之風險，或揭露之方式使人誤認其商品(服務)之提供合法。
"
七、信託業務行銷廣告,七、1.,廣告文宣之內容如涉及信託業務(如奈米投)，是否符合信託業從事廣告、業務招攬及營業促銷活動應遵循事項第六條第一項第十一款：從事高齡者或身心障礙者財產信託業務(以下簡稱安養信託)之宣導推廣活動時，提供贈品之單一成本價格上限為新臺幣五百元，安養信託以外之一般信託業務之宣導推廣活動，提供贈品之單一成本價格上限為新臺幣二百元，且均不得重複領取或累積金額以換取其他贈品。贈品活動不得變相誘導投資大眾或客戶申購特定金融商品。,如果文本或佐證資料沒有提供贈品價值，則輸出不合規的原因: 沒有提供贈品價格，無法評估
七、信託業務行銷廣告,七、2.,根據我提供的資料，確認廣告文文之內容如涉及信託業務，並且涉及特定投資標的？ （不得對一般大眾）,"特定投資標的: 特定金錢信託/有價證券信託
奈米投跟特定投資標的無關，因此最後是否符合請輸出:""不適用"""
七、信託業務行銷廣告,七、3.,奈米投是否未提及「代操」、「智能理財」等語？,
七、信託業務行銷廣告,七、4.,廣告文宣之內容如涉及信託業務(如奈米投)，並且涉及投資理財分析等金融專業及相關事實陳述，是否具備合理分析基礎及根據？,投資理財分析等金融專業及相關事實陳述: 文本中有提到投資產品(實際)的報酬率(%)或相關量化分析的陳述
七、信託業務行銷廣告,七、6.,廣告文宣之內容如涉及信託業務(如奈米投)，是否「未貶低或詆毀其他同業或競爭者之業務或聲譽、貶低整體行業聲譽或以攻訐同業之方式作宣傳」？,
七、信託業務行銷廣告,七、7.,廣告文宣之內容如涉及信託業務(如奈米投)，是否「無虛偽、詐欺、隱匿或其他足致他人誤信之行為」？,
七、信託業務行銷廣告,七、8.,廣告文宣之內容如涉及信託業務(如奈米投)，是否符合「未將有定期配息性質之金融商品，與定期存款相互比擬，以避免誤導投資人對於金融商品實質風險之誤認」？,定期配息之金融商品:股票股利、債券、定期存款、投資信託、REITs（房地產投資信託）、優先股
七、信託業務行銷廣告,七、9.,廣告文宣之內容如涉及信託業務(如奈米投)，並且出現與賦稅優惠有關之說明，是否載明所適用之對象及範圍？,如果沒有與稅相關的優惠，則是否符合規定輸出:不適用
七、信託業務行銷廣告,七、10.,若出現有關免稅之說明，是否載明免稅對象、免稅內容？,如果沒有與稅相關的優惠，則是否符合規定輸出:不適用
七、信託業務行銷廣告,七、11.,如涉及比較信託業及其競爭者時(如奈米投)，是否為客觀公平之比較，並揭露該比較之假設條件及比較因素，不得有誤導一般投資大眾或客戶之虞？,如果沒有與稅相關的優惠，則是否符合規定輸出:不適用
七、信託業務行銷廣告,七、12.,是否出現「錯別字」或「不雅之文字」？,
七、信託業務行銷廣告,七、15.,是否載明本行(台北富邦銀行)之名稱及聯絡方式？,
七、信託業務行銷廣告,七、17.,廣告文宣之內容如涉及信託業務(如奈米投)，是否「未涉及對新台幣走勢之臆測」？,
七、信託業務行銷廣告,七、18.,廣告文宣之內容如涉及信託業務(如奈米投)，是否符合「未使用「優於定存」、「打敗通膨」等相類詞語」？,
七、信託業務行銷廣告,七、19.,廣告中使用了「第一」、「冠軍」、「最多」、「最大」等最高級用語？若適用，則是否有銷售數字或意見調查等客觀數據佐證？,最高級用語:第一、冠軍、最多、最大、最佳、頂尖、最優、最高、首位、領先、榜首、最速、最先、最強、最好、唯一、最頂級、最值得、最受歡迎、最新以此類推(最…)
七、信託業務行銷廣告,七、20.,廣告文宣之內容如涉及信託業務(如奈米投)，是否符合「不得採用使人誤信能保證本金之安全或獲利之文字」？,
七、信託業務行銷廣告,七、21.,廣告文宣之內容如涉及信託業務(如奈米投)，是否符合「對於獲利與風險應作平衡報導」,
七、信託業務行銷廣告,七、22.,請確認文案內容與佐證資料是否不符?,
